frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
125,1,0.965,1.348,23.442,50.9,50.9,-40.066,-16.624000000000002
126,1,0.993,1.283,25.913,56.532,56.532,-43.029,-17.116000000000003
127,1,0.904,1.216,25.991,53.22,53.22,-39.853,-13.862000000000002
128,1,0.815,1.232,22.857,56.013,56.013,-38.996,-16.139000000000003
129,1,1.063,1.347,24.12,59.294,59.294,-39.023,-14.903000000000002
130,1,0.906,1.193,21.153,64.592,64.592,-34.911,-13.758000000000003
131,1,1.133,1.215,44.541,59.151,59.151,-79.046,-34.50500000000001
132,1,0.889,1.103,47.352,69.555,69.555,-76.92,-29.568000000000005
133,1,0.913,0.896,50.955,65.034,65.034,-86.183,-35.22800000000001
134,1,0.895,1.054,44.086,59.795,59.795,-79.58,-35.494
135,1,1.181,1.26,44.061,61.444,61.444,-76.802,-32.74100000000001
136,1,1.485,1.23,42.086,60.039,60.039,-75.216,-33.129999999999995
137,1,1.313,1.2,43.813,56.679,56.679,-74.993,-31.179999999999993
138,1,1.215,1.224,48.91,57.701,57.701,-78.759,-29.849000000000004
139,1,1.383,1.026,46.995,59.143,59.143,-79.727,-32.732000000000006
140,1,1.173,1.044,52.506,60.578,60.578,-88.212,-35.706
141,1,1.386,1.143,55.931,61.915,61.915,-87.093,-31.162000000000006
142,1,1.236,1.199,56.533,63.984,63.984,-85.741,-29.208
143,1,1.36,1.177,49.874,64.984,64.984,-86.015,-36.141
144,1,1.153,1.107,54.572,64.121,64.121,-85.922,-31.349999999999994
145,1,1.234,1.229,56.248,58.481,58.481,-92.057,-35.809000000000005
146,1,0.94,1.143,53.625,56.109,56.109,-94.536,-40.911
147,1,0.963,1.073,49.11,54.803,54.803,-90.747,-41.637
148,1,0.917,0.98,53.512,52.657,52.657,-92.264,-38.751999999999995
149,1,0.965,1.141,45.203,58.17,58.17,-87.637,-42.434
150,1,0.962,1.026,46.62,57.62,57.62,-84.28,-37.660000000000004
151,1,1.131,0.821,43.637,56.806,56.806,-84.027,-40.39
152,1,1.04,1.087,45.51,61.995,61.995,-85.097,-39.586999999999996
153,1,1.509,0.872,43.431,64.952,64.952,-77.988,-34.557
154,1,1.514,1.117,46.321,63.42,63.42,-77.635,-31.314000000000007
155,1,1.316,1.199,44.511,63.773,63.773,-80.48,-35.969
156,1,1.193,1.187,51.255,66.014,66.014,-76.7,-25.445
157,1,1.039,1.059,43.901,63.183,63.183,-68.998,-25.097
158,1,1.188,0.984,51.118,62.663,62.663,-76.42,-25.302
159,1,0.975,1.029,51.774,62.432,62.432,-84.95,-33.176
160,1,0.976,1.1,49.865,61.725,61.725,-81.451,-31.58599999999999
161,1,1.139,1.252,55.177,64.949,64.949,-85.938,-30.761000000000003
162,1,1.302,1.176,51.065,64.803,64.803,-83.163,-32.098
163,1,1.234,1.218,49.318,64.859,64.859,-83.239,-33.92100000000001
164,1,1.049,1.309,48.177,62.853,62.853,-81.188,-33.011
165,1,0.645,1.201,47.407,59.07,59.07,-82.843,-35.43600000000001
166,1,1.012,1.068,50.379,59.844,59.844,-85.112,-34.733
167,1,0.948,1.259,50.638,60.709,60.709,-84.668,-34.03000000000001
168,1,1.051,1.018,55.796,58.754,58.754,-89.307,-33.511
169,1,0.881,0.992,61.22,62.213,62.213,-91.153,-29.933000000000007
170,1,1.055,1.098,53.738,57.134,57.134,-87.396,-33.658
171,1,0.985,1.027,54.734,60.573,60.573,-86.768,-32.034
172,1,1.114,0.907,51.579,64.632,64.632,-83.45,-31.871000000000002
173,1,1.129,1.038,56.279,64.067,64.067,-89.937,-33.657999999999994
174,1,1.299,0.978,46.014,58.491,58.491,-83.601,-37.586999999999996
175,1,1.226,1.048,49.019,61.394,61.394,-88.259,-39.24
176,1,1.128,0.942,45.145,61.64,61.64,-87.321,-42.175999999999995
177,1,1.134,1.034,50.162,59.075,59.075,-94.708,-44.546
178,1,0.883,1.127,51.815,61.723,61.723,-96.632,-44.81700000000001
