frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
210,1,1.669,0.701,32.496,76.469,76.469,8.656,41.152
211,1,1.978,0.671,36.379,73.68,73.68,11.567,47.946
212,1,2.248,0.75,35.997,80.304,80.304,15.023,51.019999999999996
213,1,2.061,0.626,31.619,80.603,80.603,12.152,43.771
214,1,2.095,0.7,32.733,76.015,76.015,10.087,42.81999999999999
215,1,2.117,0.761,35.204,80.249,80.249,16.04,51.244
216,1,2.305,0.718,35.596,82.539,82.539,14.371,49.967
217,1,1.98,0.849,38.971,85.184,85.184,15.381,54.352
218,1,2.18,1.087,38.076,81.035,81.035,16.929,55.004999999999995
219,1,2.129,0.972,42.228,81.176,81.176,18.594,60.822
220,1,2.302,0.819,43.006,83.128,83.128,15.189,58.195
221,1,2.023,0.779,32.203,75.393,75.393,16.774,48.977000000000004
222,1,2.005,0.817,40.334,73.474,73.474,12.602,52.93600000000001
223,1,2.068,0.68,43.149,68.537,68.537,18.059,61.208
224,1,1.952,0.888,46.123,70.122,70.122,9.944,56.067
225,1,2.125,1.002,43.006,71.524,71.524,6.643,49.649
226,1,2.173,0.832,55.903,69.218,69.218,3.147,59.05
227,1,2.113,0.799,53.786,67.825,67.825,4.62,58.406
228,1,2.308,0.867,46.613,68.554,68.554,4.534,51.147
229,1,2.243,1.069,45.959,73.489,73.489,8.95,54.909000000000006
230,1,2.252,0.801,49.481,71.593,71.593,8.19,57.671
231,1,2.394,0.872,46.476,68.402,68.402,14.052,60.528
232,1,2.592,0.915,43.628,67.488,67.488,11.809,55.437
233,1,2.703,1.093,54.029,66.77,66.77,12.689,66.718
234,1,2.818,0.976,48.63,70.792,70.792,8.643,57.273
235,1,2.868,0.776,49.332,72.226,72.226,7.578,56.910000000000004
236,1,2.737,0.778,44.334,67.99,67.99,12.003,56.337
237,1,2.769,0.843,46.486,66.299,66.299,13.524,60.01
238,1,2.484,0.814,46.549,67.553,67.553,6.891,53.44
239,1,2.589,0.983,48.753,68.782,68.782,7.098,55.851
240,1,2.783,0.859,51.226,66.509,66.509,8.012,59.238
241,1,2.625,1.066,49.529,64.37,64.37,11.745,61.274
242,1,2.506,0.734,53.5,60.578,60.578,7.363,60.863
243,1,2.774,0.772,54.955,63.988,63.988,9.696,64.651
244,1,2.393,0.831,51.993,68.723,68.723,15.603,67.596
245,1,2.385,0.791,50.171,71.172,71.172,10.679,60.85
246,1,2.664,0.812,44.676,73.162,73.162,14.889,59.565
247,1,2.375,1.031,52.985,77.518,77.518,15.173,68.158
248,1,2.442,1.135,53.666,77.862,77.862,16.418,70.084
249,1,2.223,1.17,59.856,69.516,69.516,14.773,74.629
250,1,2.525,1.029,57.634,71.33,71.33,20.248,77.882
251,1,2.804,1.085,53.938,73.994,73.994,25.94,79.878
252,1,2.724,1.361,54.503,77.963,77.963,26.177,80.68
253,1,3.012,1.227,56.001,77.667,77.667,24.975,80.976
254,1,2.808,0.938,65.335,68.883,68.883,14.313,79.648
255,1,3.011,0.881,71.326,66.493,66.493,11.377,82.70299999999999
