frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,replicate,sas_rdc_rmsd,selection_rank
4057,1,0.742,1.365,-32.12299999999999,43.513000000000005,43.513,-18.26400000000001,-50.387,4,3.142,18
8346,1,1.176,0.86,17.289999999999992,32.69200000000001,32.692,-59.93299999999999,-42.643,4,3.142,19
43934,1,1.187,0.856,35.87700000000001,34.94999999999999,34.95,-60.857,-24.97999999999999,4,3.142,20
1040,1,1.591,0.761,-2.8360000000000127,46.236999999999995,46.237,-22.372000000000014,-25.208,5,3.145,1
28793,1,1.26,1.086,-34.285,108.77499999999998,108.775,-21.960000000000008,-56.245000000000005,5,3.145,2
48435,1,1.569,0.967,23.36699999999999,26.131,26.131,-50.63499999999999,-27.268,5,3.145,3
3539,1,0.993,1.969,-19.581999999999994,29.99000000000001,29.99,-18.364000000000004,-37.946,5,3.145,4
264,1,2.837,1.155,60.456999999999994,72.65199999999999,72.652,17.426999999999992,77.88400000000001,5,3.145,5
9323,1,1.523,1.191,4.653999999999996,44.373999999999995,44.374,-57.41499999999999,-52.760999999999996,5,3.145,6
6991,1,1.107,1.704,-3.8470000000000084,17.236999999999995,17.237,-41.06999999999999,-44.917,5,3.145,7
8346,1,1.176,0.86,17.289999999999992,32.69200000000001,32.692,-59.93299999999999,-42.643,5,3.145,8
528,1,1.773,0.771,9.619,70.34100000000001,70.341,30.002999999999986,39.622000000000014,5,3.145,9
7133,1,0.956,1.153,15.23599999999999,27.11699999999999,27.117,-62.33,-47.093999999999994,5,3.145,10
43934,1,1.187,0.856,35.87700000000001,34.94999999999999,34.95,-60.857,-24.97999999999999,5,3.145,11
48649,1,0.889,1.166,8.537000000000006,34.29599999999999,34.296,-40.59,-32.053,5,3.145,12
798,1,1.491,1.281,7.5,87.66300000000001,87.663,23.28200000000001,30.78200000000001,5,3.145,13
4248,1,0.787,1.459,-19.801999999999992,50.244,50.244,-24.138000000000005,-43.94,5,3.145,14
9366,1,1.544,0.935,-3.467000000000013,37.63300000000001,37.633,-50.212999999999994,-53.68000000000001,5,3.145,15
262,1,2.751,1.319,67.29500000000002,64.701,64.701,15.527999999999992,82.82299999999998,5,3.145,16
770,1,1.92,0.798,36.341999999999985,93.67599999999999,93.676,51.233000000000004,87.57499999999999,5,3.145,17
28774,1,1.281,1.152,-36.351,108.755,108.755,-10.40100000000001,-46.75200000000001,5,3.145,18
495,1,1.901,0.895,16.828000000000003,74.77699999999999,74.777,5.419000000000011,22.247000000000014,5,3.145,19
29102,1,0.975,1.053,-27.425999999999988,94.93899999999996,94.939,-23.823000000000008,-51.248999999999995,5,3.145,20
262,1,2.751,1.319,67.29500000000002,64.701,64.701,15.527999999999992,82.82299999999998,6,3.147,1
6988,1,1.123,1.86,-26.86500000000001,14.098000000000013,14.098,-18.312999999999988,-45.178,6,3.147,2
462,1,1.807,0.69,27.801999999999992,70.845,70.845,-13.096000000000004,14.705999999999989,6,3.147,3
