frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,replicate,sas_rdc_rmsd,selection_rank
46061,1,0.771,0.967,12.283999999999992,83.23000000000002,83.23,-22.671999999999997,-10.388000000000005,9,2.382,11
36311,1,0.913,0.893,7.974999999999994,83.11099999999999,83.111,-21.549000000000007,-13.574000000000012,9,2.382,12
18191,1,1.472,0.832,-24.932999999999993,49.31200000000001,49.312,7.686000000000007,-17.247000000000014,9,2.382,13
24193,1,0.713,1.308,88.79200000000003,36.646000000000015,36.646,-76.698,12.093999999999994,9,2.382,14
36312,1,1.15,1.068,7.787000000000006,79.77499999999998,79.775,-24.52000000000001,-16.733000000000004,9,2.382,15
49445,1,0.604,1.024,-76.418,11.34299999999999,11.343,64.07400000000001,-12.343999999999994,9,2.382,16
12120,1,1.134,0.925,-32.518,42.501000000000005,42.501,5.878999999999991,-26.63900000000001,9,2.382,17
48861,1,1.48,0.956,33.25200000000001,89.481,89.481,37.327,70.57900000000001,9,2.382,18
48866,1,1.425,0.811,38.054,89.51300000000003,89.513,29.960000000000008,68.01400000000001,9,2.382,19
48883,1,1.032,0.704,47.787000000000006,61.953,61.953,10.834000000000003,58.62100000000001,9,2.382,20
27886,1,0.767,0.998,58.077,10.649000000000001,10.649,-45.25,12.826999999999998,10,2.384,1
48868,1,1.239,0.651,37.435,81.22699999999998,81.227,35.08699999999999,72.52199999999999,10,2.384,2
24126,1,0.855,1.437,81.81700000000001,36.28899999999999,36.289,-66.567,15.25,10,2.384,3
44295,1,1.305,0.981,-31.704999999999984,73.25200000000001,73.252,17.379999999999995,-14.324999999999989,10,2.384,4
47856,1,1.05,1.086,-4.304000000000002,-2.960000000000008,2.96,3.443000000000012,-0.86099999999999,10,2.384,5
44176,1,1.288,1.115,-37.158000000000015,72.56299999999999,72.563,18.413999999999987,-18.744,10,2.384,6
36311,1,0.913,0.893,7.974999999999994,83.11099999999999,83.111,-21.549000000000007,-13.574000000000012,10,2.384,7
