frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,replicate,sas_rdc_rmsd,selection_rank
25583,1,1.632,1.07,-63.684,40.989000000000004,40.989,11.792000000000002,-51.891999999999996,3,1.855,18
5581,1,1.754,0.948,-34.11099999999999,71.28300000000002,71.283,29.873999999999995,-4.236999999999995,3,1.855,19
25214,1,2.025,0.847,23.14099999999999,34.287000000000006,34.287,4.919000000000011,28.060000000000002,3,1.855,20
15813,1,1.366,0.924,-4.421999999999997,71.63999999999999,71.64,-22.542,-26.964,4,1.861,1
6185,1,3.851,0.538,62.507000000000005,71.945,71.945,0.3120000000000118,62.81900000000002,4,1.861,2
18576,1,1.255,0.924,-40.40199999999999,97.457,97.457,14.408999999999992,-25.992999999999995,4,1.861,3
27063,1,1.122,1.001,-82.212,-18.461000000000013,18.461,74.47199999999998,-7.740000000000009,4,1.861,4
7225,1,1.279,0.795,-0.6380000000000052,79.805,79.805,-12.322000000000003,-12.960000000000008,4,1.861,5
50379,1,1.089,0.761,-48.44999999999999,13.719999999999999,13.72,39.709,-8.740999999999985,4,1.861,6
211,1,2.567,0.914,19.51400000000001,62.307000000000016,62.307,46.845,66.35899999999998,4,1.861,7
44816,1,0.934,1.225,53.59700000000001,31.805000000000007,31.805,-69.426,-15.829000000000008,4,1.861,8
32226,1,0.959,1.034,-58.535,29.256,29.256,19.091999999999985,-39.442999999999984,4,1.861,9
21292,1,0.819,1.504,-17.64500000000001,56.486999999999995,56.487,-17.865999999999985,-35.510999999999996,4,1.861,10
15960,1,0.909,0.771,-72.543,-9.84899999999999,9.849,83.452,10.908999999999992,4,1.861,11
31301,1,1.073,1.135,-23.78800000000001,100.49900000000002,100.499,6.242999999999995,-17.545000000000016,4,1.861,12
6014,1,3.912,0.567,56.46800000000002,76.80399999999997,76.804,2.9850000000000136,59.453,4,1.861,13
7711,1,1.235,0.657,21.014999999999986,56.49600000000001,56.496,-36.92699999999999,-15.912000000000006,4,1.861,14
33300,1,2.013,0.804,33.30199999999999,88.77199999999999,88.772,16.863,50.16499999999999,4,1.861,15
32211,1,1.176,1.199,-51.21199999999999,23.063999999999993,23.064,11.369,-39.84300000000002,4,1.861,16
26186,1,1.567,1.129,-14.310000000000002,57.20600000000002,57.206,-4.939999999999998,-19.25,4,1.861,17
11952,1,1.279,1.052,-22.673000000000002,83.46199999999999,83.462,-13.405000000000001,-36.078,4,1.861,18
3140,1,0.881,1.021,38.86099999999999,24.421999999999997,24.422,-61.408,-22.546999999999997,4,1.861,19
19757,1,1.227,0.634,3.272999999999996,62.357,62.357,-49.432000000000016,-46.15899999999999,4,1.861,20
44308,1,0.982,0.771,40.708,88.47399999999999,88.474,47.07300000000001,87.781,5,1.868,1
37200,1,1.503,1.103,7.293000000000006,53.638000000000005,53.638,-16.385999999999996,-9.09299999999999,5,1.868,2
25610,1,1.582,1.24,-41.708,37.75,37.75,-2.2750000000000057,-43.983000000000004,5,1.868,3
254,1,1.305,1.16,3.337999999999994,47.071,47.071,-17.024,-13.686000000000007,5,1.868,4
46715,1,1.118,0.937,-14.995000000000005,81.29599999999999,81.296,-9.084000000000003,-24.079000000000008,5,1.868,5
18075,1,1.913,0.856,37.46800000000002,77.07900000000001,77.079,64.11500000000001,101.58299999999997,5,1.868,6
39404,1,1.08,0.778,-21.698000000000008,94.10899999999998,94.109,-4.038000000000011,-25.73599999999999,5,1.868,7
45291,1,1.226,1.488,-26.85499999999999,47.629999999999995,47.63,-5.299000000000007,-32.153999999999996,5,1.868,8
6185,1,3.851,0.538,62.507000000000005,71.945,71.945,0.3120000000000118,62.81900000000002,5,1.868,9
30382,1,0.918,0.878,62.387,-2.693000000000012,2.693,-72.04,-9.65300000000002,5,1.868,10
6014,1,3.912,0.567,56.46800000000002,76.80399999999997,76.804,2.9850000000000136,59.453,5,1.868,11
34913,1,1.246,1.091,10.949000000000012,73.97399999999999,73.974,-14.87100000000001,-3.921999999999997,5,1.868,12
3870,1,1.118,1.015,-46.162000000000006,78.64300000000003,78.643,12.771999999999991,-33.389999999999986,5,1.868,13
41350,1,1.697,0.806,-32.131,66.297,66.297,13.119,-19.012,5,1.868,14
32294,1,1.395,0.796,-67.565,35.197,35.197,28.068000000000012,-39.497000000000014,5,1.868,15
14814,1,1.083,0.834,-0.03299999999998704,69.36599999999999,69.366,-27.043000000000006,-27.075999999999993,5,1.868,16
38956,1,1.033,1.2,60.037000000000006,9.90700000000001,9.907,-41.480999999999995,18.55600000000001,5,1.868,17
41092,1,1.28,0.645,-5.153999999999996,51.536,51.536,-44.959,-50.113,5,1.868,18
15960,1,0.909,0.771,-72.543,-9.84899999999999,9.849,83.452,10.908999999999992,5,1.868,19
41953,1,1.186,1.075,55.28199999999998,25.754999999999995,25.755,-65.674,-10.391999999999996,5,1.868,20
36565,1,1.27,1.227,21.736999999999995,8.948000000000008,8.948,-6.3089999999999975,15.427999999999997,6,1.876,1
32211,1,1.176,1.199,-51.21199999999999,23.063999999999993,23.064,11.369,-39.84300000000002,6,1.876,2
37247,1,1.515,1.022,-13.350999999999999,57.021000000000015,57.021,-3.179000000000002,-16.53,6,1.876,3
15960,1,0.909,0.771,-72.543,-9.84899999999999,9.849,83.452,10.908999999999992,6,1.876,4
6573,1,0.769,1.186,50.264999999999986,39.888000000000005,39.888,-60.21600000000001,-9.950999999999993,6,1.876,5
43191,1,1.266,0.731,31.562000000000012,94.01099999999997,94.011,53.66300000000001,85.22500000000002,6,1.876,6
6014,1,3.912,0.567,56.46800000000002,76.80399999999997,76.804,2.9850000000000136,59.453,6,1.876,7
11853,1,0.898,0.885,-23.363,52.91499999999999,52.915,-1.681999999999988,-25.045000000000016,6,1.876,8
32294,1,1.395,0.796,-67.565,35.197,35.197,28.068000000000012,-39.497000000000014,6,1.876,9
18576,1,1.255,0.924,-40.40199999999999,97.457,97.457,14.408999999999992,-25.992999999999995,6,1.876,10
41350,1,1.697,0.806,-32.131,66.297,66.297,13.119,-19.012,6,1.876,11
12171,1,1.276,1.417,0.3859999999999957,75.838,75.838,-37.934,-37.548,6,1.876,12
43324,1,0.76,1.656,-39.85900000000001,56.631,56.631,0.828000000000003,-39.031000000000006,6,1.876,13
15813,1,1.366,0.924,-4.421999999999997,71.63999999999999,71.64,-22.542,-26.964,6,1.876,14
136,1,2.242,0.883,26.501000000000005,68.75900000000001,68.759,-6.778999999999996,19.72200000000001,6,1.876,15
