frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,replicate,sas_rdc_rmsd,selection_rank
47120,1,2.209,0.555,18.021000000000015,85.67599999999999,85.676,15.373999999999995,33.39500000000001,7,3.857,2
19168,1,1.35,0.758,-1.8660000000000139,57.67599999999999,57.676,-21.823000000000008,-23.688999999999993,7,3.857,3
15066,1,1.211,0.92,-15.388000000000005,32.29399999999998,32.294,-37.661,-53.04900000000001,7,3.857,4
47121,1,2.16,0.763,21.043000000000006,89.356,89.356,19.85900000000001,40.90199999999999,7,3.857,5
41579,1,1.542,0.966,-1.5889999999999986,53.635999999999996,53.636,-41.50800000000001,-43.09700000000001,7,3.857,6
29120,1,1.269,0.754,17.259000000000015,23.841000000000008,23.841,-35.182000000000016,-17.923000000000002,7,3.857,7
11944,1,1.371,0.762,-13.013000000000005,71.01400000000001,71.014,3.4749999999999943,-9.538000000000011,7,3.857,8
47147,1,2.001,0.583,38.658000000000015,65.98399999999998,65.984,29.840000000000003,68.49799999999999,7,3.857,9
41658,1,1.52,0.806,64.411,44.754999999999995,44.755,-89.869,-25.458,7,3.857,10
13005,1,1.499,1.062,-28.625,34.18299999999999,34.183,-32.92500000000001,-61.55,7,3.857,11
41571,1,1.401,0.98,-12.644000000000005,50.62899999999999,50.629,-33.07499999999999,-45.718999999999994,7,3.857,12
14976,1,1.069,1.1,-36.06,27.435000000000002,27.435,-14.225999999999999,-50.286,7,3.857,13
29013,1,1.33,0.821,7.699000000000012,22.857,22.857,-25.949000000000012,-18.25,7,3.857,14
29152,1,1.669,0.786,47.39099999999999,29.353999999999985,29.354,-68.435,-21.04400000000001,7,3.857,15
36816,1,1.393,0.935,26.171999999999997,24.982,24.982,-74.667,-48.495000000000005,7,3.857,16
29012,1,1.787,0.859,3.0289999999999964,21.497000000000014,21.497,-22.25399999999999,-19.224999999999994,7,3.857,17
47126,1,2.278,0.649,36.396000000000015,83.57799999999997,83.578,16.215000000000003,52.61099999999999,7,3.857,18
21123,1,1.833,0.948,9.656000000000006,71.756,71.756,-15.568000000000012,-5.912000000000006,7,3.857,19
12385,1,1.67,0.716,-3.820999999999998,94.63400000000001,94.634,13.24799999999999,9.426999999999992,7,3.857,20
47126,1,2.278,0.649,36.396000000000015,83.57799999999997,83.578,16.215000000000003,52.61099999999999,8,3.859,1
41579,1,1.542,0.966,-1.5889999999999986,53.635999999999996,53.636,-41.50800000000001,-43.09700000000001,8,3.859,2
20227,1,1.284,0.715,-22.641999999999996,44.19400000000002,44.194,-32.462999999999994,-55.10499999999999,8,3.859,3
42327,1,1.432,0.647,7.570999999999998,26.034999999999997,26.035,-56.94,-49.369,8,3.859,4
45206,1,1.065,0.969,-35.22300000000001,80.50400000000002,80.504,-3.673000000000002,-38.896000000000015,8,3.859,5
48892,1,1.449,1.276,32.46100000000001,47.486999999999995,47.487,-60.236999999999995,-27.77600000000001,8,3.859,6
29086,1,1.804,1.153,33.37700000000001,32.435,32.435,-56.458,-23.08099999999999,8,3.859,7
29130,1,1.411,0.858,17.25,17.12299999999999,17.123,-37.01400000000001,-19.76400000000001,8,3.859,8
29120,1,1.269,0.754,17.259000000000015,23.841000000000008,23.841,-35.182000000000016,-17.923000000000002,8,3.859,9
36816,1,1.393,0.935,26.171999999999997,24.982,24.982,-74.667,-48.495000000000005,8,3.859,10
47121,1,2.16,0.763,21.043000000000006,89.356,89.356,19.85900000000001,40.90199999999999,8,3.859,11
21109,1,1.492,1.082,12.337999999999994,69.43799999999999,69.438,-19.412000000000006,-7.074000000000012,8,3.859,12
12385,1,1.67,0.716,-3.820999999999998,94.63400000000001,94.634,13.24799999999999,9.426999999999992,8,3.859,13
15112,1,1.487,0.77,1.3100000000000023,35.18000000000001,35.18,-46.167,-44.857,8,3.859,14
14976,1,1.069,1.1,-36.06,27.435000000000002,27.435,-14.225999999999999,-50.286,8,3.859,15
28988,1,1.26,0.589,13.426999999999992,38.827,38.827,-28.074000000000012,-14.646999999999991,8,3.859,16
21123,1,1.833,0.948,9.656000000000006,71.756,71.756,-15.568000000000012,-5.912000000000006,8,3.859,17
12177,1,2.066,1.11,93.44799999999998,55.916,55.916,-28.568000000000012,64.88,8,3.859,18
47149,1,1.663,0.938,36.396000000000015,66.60300000000001,66.603,35.19,71.58600000000001,8,3.859,19
47120,1,2.209,0.555,18.021000000000015,85.67599999999999,85.676,15.373999999999995,33.39500000000001,8,3.859,20
29086,1,1.804,1.153,33.37700000000001,32.435,32.435,-56.458,-23.08099999999999,9,3.859,1
47149,1,1.663,0.938,36.396000000000015,66.60300000000001,66.603,35.19,71.58600000000001,9,3.859,2
41579,1,1.542,0.966,-1.5889999999999986,53.635999999999996,53.636,-41.50800000000001,-43.09700000000001,9,3.859,3
42327,1,1.432,0.647,7.570999999999998,26.034999999999997,26.035,-56.94,-49.369,9,3.859,4
12385,1,1.67,0.716,-3.820999999999998,94.63400000000001,94.634,13.24799999999999,9.426999999999992,9,3.859,5
36816,1,1.393,0.935,26.171999999999997,24.982,24.982,-74.667,-48.495000000000005,9,3.859,6
21109,1,1.492,1.082,12.337999999999994,69.43799999999999,69.438,-19.412000000000006,-7.074000000000012,9,3.859,7
29120,1,1.269,0.754,17.259000000000015,23.841000000000008,23.841,-35.182000000000016,-17.923000000000002,9,3.859,8
15112,1,1.487,0.77,1.3100000000000023,35.18000000000001,35.18,-46.167,-44.857,9,3.859,9
12177,1,2.066,1.11,93.44799999999998,55.916,55.916,-28.568000000000012,64.88,9,3.859,10
20227,1,1.284,0.715,-22.641999999999996,44.19400000000002,44.194,-32.462999999999994,-55.10499999999999,9,3.859,11
14976,1,1.069,1.1,-36.06,27.435000000000002,27.435,-14.225999999999999,-50.286,9,3.859,12
47126,1,2.278,0.649,36.396000000000015,83.57799999999997,83.578,16.215000000000003,52.61099999999999,9,3.859,13
