frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
135,1,1.195,0.69,46.265,62.304,62.304,-54.804,-8.539000000000001
136,1,2.242,0.883,26.501,68.759,68.759,-6.779,19.722
137,1,2.22,0.591,27.956,64.114,64.114,-10.6,17.356
138,1,2.133,0.979,30.192,62.701,62.701,-5.659,24.533
139,1,2.819,0.678,50.4,54.445,54.445,42.334,92.73400000000001
140,1,2.59,0.609,49.103,53.201,53.201,44.041,93.144
141,1,2.505,0.664,44.465,51.908,51.908,47.642,92.107
142,1,1.561,1.224,52.914,73.323,73.323,8.856,61.77
143,1,2.698,1.2,53.933,46.117,46.117,45.55,99.483
144,1,1.757,1.207,43.239,75.541,75.541,3.704,46.943
145,1,2.725,0.859,63.115,48.914,48.914,35.272,98.387
146,1,1.881,0.821,32.686,65.726,65.726,-3.131,29.555
147,1,1.665,0.762,43.161,49.069,49.069,3.946,47.107
148,1,1.726,0.876,32.396,55.37,55.37,20.566,52.962
149,1,1.994,0.869,36.798,42.602,42.602,-39.274,-2.475999999999999
150,1,2.04,0.993,17.787,71.903,71.903,6.481,24.268
151,1,2.891,0.686,64.133,55.838,55.838,11.449,75.582
152,1,1.459,0.826,30.09,52.106,52.106,-27.202,2.887999999999998
153,1,1.425,0.743,27.075,50.323,50.323,-33.491,-6.416
154,1,2.037,0.907,16.815,69.76,69.76,10.758,27.573
155,1,1.764,0.543,25.113,54.654,54.654,-32.28,-7.167000000000002
156,1,2.37,0.79,54.804,65.304,65.304,14.852,69.656
157,1,2.094,0.836,25.469,54.009,54.009,-17.89,7.579000000000001
158,1,2.742,0.772,59.868,57.03,57.03,17.683,77.551
159,1,2.033,0.787,13.248,61.805,61.805,7.257,20.505
160,1,1.487,0.876,29.873,64.841,64.841,10.785,40.658
161,1,1.455,0.743,30.615,61.083,61.083,15.967,46.582
162,1,1.616,0.835,33.193,55.302,55.302,21.704,54.897
163,1,1.019,0.918,59.628,58.468,58.468,-42.289,17.339
164,1,1.576,0.915,33.322,62.542,62.542,25.731,59.053000000000004
165,1,1.308,0.9,7.029,52.388,52.388,-13.986,-6.957000000000001
166,1,1.218,1.129,9.855,49.312,49.312,-14.467,-4.612
167,1,1.521,0.788,40.233,58.36,58.36,8.377,48.61
168,1,1.435,1.152,39.319,63.978,63.978,7.545,46.864000000000004
169,1,1.243,1.214,25.005,38.765,38.765,-29.382,-4.3770000000000024
170,1,0.876,1.078,-20.571,61.664,61.664,15.101,-5.470000000000001
171,1,1.443,0.968,8.796,59.823,59.823,5.817,14.613
172,1,1.565,0.948,10.992,61.005,61.005,9.867,20.859
173,1,1.348,0.954,49.453,65.765,65.765,-1.479,47.974000000000004
174,1,1.522,1.06,41.356,65.257,65.257,-9.457,31.899
175,1,1.103,0.963,-19.05,60.67,60.67,19.743,0.6929999999999978
176,1,1.163,1.068,-18.093,61.715,61.715,16.853,-1.2399999999999984
177,1,1.523,0.89,3.029,67.568,67.568,10.392,13.421
178,1,1.688,0.83,23.445,51.32,51.32,-33.639,-10.194000000000003
179,1,2.047,0.636,38.222,60.091,60.091,44.273,82.495
180,1,2.353,0.739,34.677,52.432,52.432,52.0,86.67699999999999
181,1,1.422,0.829,-15.013,54.794,54.794,17.089,2.0759999999999987
182,1,1.366,0.811,19.472,55.598,55.598,-34.949,-15.476999999999997
183,1,1.308,0.891,-17.171,57.645,57.645,17.064,-0.10699999999999932
184,1,1.356,0.984,-13.67,57.367,57.367,13.828,0.15799999999999947
185,1,2.557,0.887,29.895,64.531,64.531,62.528,92.423
186,1,2.538,0.792,27.713,57.751,57.751,60.578,88.291
187,1,1.112,1.051,-8.861,60.642,60.642,12.285,3.4239999999999995
188,1,1.336,0.539,30.797,62.53,62.53,-21.635,9.161999999999999
189,1,2.377,0.859,28.687,42.797,42.797,59.585,88.272
190,1,1.721,0.865,29.384,74.669,74.669,-17.59,11.794
191,1,2.277,1.224,33.545,37.725,37.725,47.376,80.92099999999999
192,1,1.572,1.193,8.956,38.888,38.888,-6.453,2.5029999999999992
193,1,1.255,1.252,0.103,49.966,49.966,0.821,0.9239999999999999
194,1,2.316,1.067,31.896,45.618,45.618,46.224,78.12
195,1,1.722,0.931,3.434,66.59,66.59,-4.984,-1.5499999999999998
196,1,1.543,0.889,21.997,55.133,55.133,11.641,33.638
197,1,1.591,0.823,26.648,53.063,53.063,6.472,33.12
198,1,1.527,1.053,30.876,54.501,54.501,2.396,33.272
199,1,1.485,0.993,28.902,53.882,53.882,-2.631,26.271
200,1,2.299,0.94,31.785,63.047,63.047,41.396,73.181
201,1,2.276,0.886,27.037,62.357,62.357,42.35,69.387
202,1,0.937,1.127,4.078,40.426,40.426,-3.0,1.0780000000000003
203,1,1.125,1.1,4.201,43.856,43.856,-5.746,-1.5450000000000008
204,1,1.388,1.27,35.738,51.114,51.114,-23.265,12.472999999999999
205,1,2.173,0.964,30.829,62.102,62.102,46.617,77.446
206,1,1.146,1.303,45.998,54.252,54.252,-29.726,16.272
207,1,2.168,0.612,28.012,60.273,60.273,42.702,70.714
208,1,2.38,0.777,31.5,55.122,55.122,36.36,67.86
209,1,2.287,0.891,26.869,56.363,56.363,41.727,68.596
210,1,1.323,0.808,2.328,56.124,56.124,-16.719,-14.391000000000002
211,1,2.567,0.914,19.514,62.307,62.307,46.845,66.359
212,1,1.501,0.729,18.505,66.049,66.049,1.136,19.641
213,1,1.503,0.831,18.223,65.969,65.969,-0.399,17.823999999999998
214,1,1.353,0.945,-2.405,56.918,56.918,-23.317,-25.722
215,1,1.372,0.889,50.124,59.15,59.15,-25.714,24.410000000000004
216,1,1.081,1.15,1.552,52.331,52.331,-19.556,-18.004
217,1,1.469,1.027,50.573,58.974,58.974,-29.878,20.695
218,1,1.269,0.918,56.092,56.528,56.528,-31.845,24.247
219,1,1.233,0.845,53.758,51.371,51.371,-30.638,23.12
220,1,0.914,1.105,36.287,50.917,50.917,-39.378,-3.091000000000001
221,1,0.813,0.894,32.885,51.237,51.237,-37.253,-4.368000000000002
222,1,1.165,0.838,-4.784,46.125,46.125,-26.767,-31.551
223,1,1.145,0.903,32.363,55.635,55.635,-65.125,-32.762
224,1,0.994,0.883,-0.178,55.621,55.621,-26.199,-26.377000000000002
225,1,2.22,0.741,25.459,51.323,51.323,0.478,25.937
226,1,2.353,0.904,28.221,48.0,48.0,-0.758,27.463
227,1,1.098,0.824,13.618,52.848,52.848,-31.855,-18.237000000000002
228,1,2.044,1.068,35.482,47.752,47.752,-0.62,34.862
229,1,1.123,1.227,27.797,40.619,40.619,-30.883,-3.0859999999999985
230,1,1.214,1.216,26.439,39.538,39.538,-26.462,-0.022999999999999687
231,1,1.92,1.063,46.223,77.297,77.297,10.871,57.094
232,1,0.964,0.792,35.185,45.862,45.862,-74.388,-39.203
233,1,1.229,0.852,-0.416,53.074,53.074,-29.027,-29.443
234,1,1.234,1.362,12.391,48.841,48.841,-12.054,0.33699999999999974
235,1,1.408,0.972,4.499,55.336,55.336,-10.729,-6.2299999999999995
236,1,1.207,0.989,-7.239,51.229,51.229,-6.556,-13.795
237,1,1.162,0.847,-4.305,58.584,58.584,-14.953,-19.258
238,1,1.001,1.006,31.884,51.152,51.152,-71.686,-39.80200000000001
239,1,1.694,1.088,37.308,50.746,50.746,-4.258,33.05
240,1,1.026,0.909,35.844,48.947,48.947,-70.271,-34.427
241,1,0.998,1.467,14.891,46.096,46.096,-18.504,-3.6130000000000013
242,1,1.81,0.966,41.505,50.936,50.936,-2.726,38.779
243,1,1.178,1.416,16.407,45.237,45.237,-18.0,-1.593
244,1,1.133,1.476,14.454,40.947,40.947,-15.115,-0.6609999999999996
245,1,1.715,0.701,56.081,46.9,46.9,-19.021,37.06
246,1,2.077,1.109,47.649,46.027,46.027,-4.453,43.196
247,1,1.87,1.084,50.743,44.119,44.119,-15.946,34.797000000000004
248,1,1.914,0.83,35.244,47.778,47.778,-6.338,28.906
249,1,1.99,1.033,35.324,49.402,49.402,0.051,35.375
250,1,1.355,0.884,6.835,59.473,59.473,-17.274,-10.439
251,1,2.074,1.213,39.957,52.647,52.647,-9.232,30.725
252,1,1.869,1.201,41.647,49.788,49.788,-10.783,30.863999999999997
253,1,1.293,0.837,5.256,68.649,68.649,-50.547,-45.291
254,1,1.305,1.16,3.338,47.071,47.071,-17.024,-13.686
255,1,1.181,0.977,9.214,46.781,46.781,-49.717,-40.503
256,1,1.199,0.79,22.15,51.019,51.019,-60.487,-38.337
257,1,1.142,0.772,29.364,49.762,49.762,-64.313,-34.949
258,1,1.071,0.866,28.167,51.141,51.141,-62.417,-34.25
259,1,1.212,0.894,26.003,47.788,47.788,-61.482,-35.479
260,1,2.194,0.96,69.578,56.921,56.921,-49.106,20.472
261,1,2.138,1.025,39.934,44.435,44.435,-0.061,39.873
262,1,0.967,0.77,-16.312,61.864,61.864,-3.156,-19.468
263,1,1.224,0.884,-15.726,54.172,54.172,-3.721,-19.447000000000003
264,1,0.839,1.059,-13.618,55.249,55.249,-7.507,-21.125
265,1,1.169,0.84,-7.012,53.124,53.124,-10.47,-17.482
266,1,1.142,0.696,18.275,42.811,42.811,-56.808,-38.533
267,1,1.279,0.629,12.272,46.022,46.022,-51.773,-39.501000000000005
268,1,1.187,0.749,9.121,46.297,46.297,-50.078,-40.957
269,1,1.072,0.694,14.29,44.457,44.457,-51.927,-37.637
270,1,1.251,1.118,13.682,49.907,49.907,-56.06,-42.378
271,1,2.336,0.597,48.29,41.37,41.37,11.2,59.489999999999995
272,1,1.647,0.829,31.113,65.713,65.713,-19.562,11.550999999999998
273,1,1.537,1.072,28.84,59.051,59.051,-13.964,14.876
274,1,1.548,0.759,35.905,63.462,63.462,-19.404,16.501
275,1,2.531,0.937,39.693,45.225,45.225,20.717,60.41
276,1,1.342,1.039,-5.82,57.107,57.107,-13.465,-19.285
277,1,1.101,1.003,-13.601,49.213,49.213,-8.82,-22.421
278,1,1.213,0.767,21.414,49.755,49.755,-71.471,-50.057
279,1,1.536,0.817,26.982,57.104,57.104,-14.637,12.344999999999999
280,1,1.371,0.654,24.158,45.522,45.522,-67.881,-43.723
281,1,1.138,0.816,25.925,44.086,44.086,-71.839,-45.914
282,1,1.206,0.809,19.48,42.38,42.38,-65.182,-45.702
283,1,2.517,0.881,38.015,53.962,53.962,19.283,57.298
284,1,1.53,1.034,28.141,47.635,47.635,-17.15,10.991
285,1,1.545,1.11,26.246,51.801,51.801,-9.794,16.451999999999998
286,1,2.602,0.907,38.622,57.481,57.481,19.653,58.275
287,1,2.74,1.0,38.469,54.557,54.557,16.293,54.762
288,1,1.066,0.69,21.633,46.256,46.256,-60.781,-39.147999999999996
289,1,1.287,1.361,42.185,63.932,63.932,-34.67,7.515000000000001
290,1,1.785,1.061,15.137,76.301,76.301,81.341,96.478
291,1,2.615,0.904,30.556,68.37,68.37,27.82,58.376000000000005
292,1,1.702,1.012,40.7,51.174,51.174,-30.273,10.427000000000003
293,1,1.256,0.768,5.293,60.784,60.784,-50.595,-45.302
294,1,1.406,1.151,30.774,47.264,47.264,-36.187,-5.412999999999997
295,1,1.353,0.914,6.322,62.114,62.114,-54.519,-48.196999999999996
296,1,1.251,1.123,0.559,63.725,63.725,-51.743,-51.184000000000005
297,1,1.54,1.263,24.91,95.87,95.87,73.422,98.332
298,1,1.611,1.136,2.469,45.964,45.964,-9.961,-7.492000000000001
299,1,0.734,0.579,32.783,52.08,52.08,-41.001,-8.217999999999996
300,1,1.636,1.025,20.479,79.466,79.466,72.201,92.67999999999999
301,1,2.514,1.052,40.923,66.348,66.348,27.721,68.644
302,1,1.684,1.158,25.638,76.092,76.092,74.072,99.71000000000001
