frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
165,1,0.621,0.708,-39.444,17.376,17.376,30.434,-9.010000000000002
166,1,0.873,0.575,-43.935,11.5,11.5,23.02,-20.915000000000003
167,1,0.354,0.833,-17.991,15.342,15.342,2.958,-15.033
168,1,1.238,0.881,-45.162,26.952,26.952,19.304,-25.858
169,1,0.596,0.699,-2.945,19.391,19.391,-23.936,-26.881
170,1,0.673,0.675,-38.027,32.848,32.848,27.888,-10.139
171,1,0.783,0.837,-50.726,51.958,51.958,15.399,-35.327
172,1,0.647,0.741,-49.212,32.449,32.449,14.81,-34.402
173,1,0.636,0.656,-37.596,23.355,23.355,24.488,-13.107999999999997
174,1,0.761,0.696,-57.159,29.908,29.908,35.442,-21.717
175,1,0.454,0.564,-31.106,27.764,27.764,-2.992,-34.098
176,1,0.35,0.788,-33.939,44.519,44.519,23.518,-10.421
177,1,0.493,0.829,-33.672,39.502,39.502,23.641,-10.030999999999999
178,1,0.546,0.695,-6.415,17.5,17.5,-7.363,-13.778
179,1,0.443,0.761,-37.492,31.054,31.054,28.523,-8.968999999999998
180,1,1.025,0.815,-52.511,26.354,26.354,34.625,-17.886000000000003
181,1,0.537,0.708,-57.705,41.466,41.466,38.163,-19.542
182,1,1.099,0.859,-50.386,47.581,47.581,14.626,-35.760000000000005
183,1,0.343,0.601,-17.063,17.743,17.743,5.35,-11.713
184,1,0.529,0.709,-57.037,23.361,23.361,40.281,-16.756
185,1,0.65,0.606,-41.985,29.929,29.929,21.487,-20.498
186,1,0.427,0.772,-34.768,7.949,7.949,22.741,-12.027000000000001
187,1,0.766,0.623,-26.904,17.175,17.175,21.777,-5.126999999999999
188,1,0.642,0.506,-32.94,13.168,13.168,-1.763,-34.702999999999996
189,1,0.706,0.725,-30.202,24.889,24.889,18.104,-12.098000000000003
190,1,0.525,0.782,-44.754,39.685,39.685,23.618,-21.136
191,1,0.584,0.794,-44.466,46.264,46.264,42.125,-2.341000000000001
192,1,0.593,0.831,-22.824,35.072,35.072,5.946,-16.878
193,1,0.43,0.722,-32.61,29.715,29.715,12.969,-19.641
194,1,0.593,0.812,-28.983,19.791,19.791,8.928,-20.055
195,1,0.447,0.603,-37.136,19.136,19.136,18.218,-18.918000000000003
196,1,0.286,0.562,-12.115,14.974,14.974,-8.909,-21.024
197,1,0.5,0.545,-30.427,20.984,20.984,10.638,-19.789
198,1,0.738,0.712,-34.348,31.875,31.875,22.186,-12.161999999999999
199,1,0.744,0.722,-44.955,15.979,15.979,33.683,-11.271999999999998
200,1,0.588,0.466,-44.014,20.392,20.392,13.891,-30.123000000000005
201,1,0.565,0.714,-54.382,20.105,20.105,42.948,-11.433999999999997
202,1,0.673,0.618,-22.31,14.959,14.959,1.41,-20.9
203,1,0.885,0.563,-18.995,22.602,22.602,-24.34,-43.335
204,1,0.547,0.587,-33.776,14.373,14.373,11.651,-22.125000000000004
205,1,0.531,0.634,-19.379,23.364,23.364,-4.795,-24.174
206,1,0.622,0.859,-57.822,17.719,17.719,48.689,-9.133000000000003
207,1,0.512,0.726,-36.935,29.436,29.436,27.77,-9.165000000000003
208,1,0.527,0.677,-14.154,18.044,18.044,-7.853,-22.006999999999998
209,1,0.59,0.502,-36.019,12.94,12.94,4.546,-31.473
210,1,0.816,0.719,-42.479,22.585,22.585,22.22,-20.259
211,1,0.535,0.906,-22.547,38.506,38.506,-7.469,-30.016000000000002
212,1,0.547,0.486,-23.6,28.715,28.715,-6.241,-29.841
213,1,0.493,0.703,1.953,19.099,19.099,-16.884,-14.931000000000001
214,1,0.498,0.605,34.415,11.778,11.778,-63.391,-28.976
215,1,0.541,0.552,-44.44,22.938,22.938,20.538,-23.901999999999997
216,1,0.614,0.526,-26.777,35.385,35.385,1.449,-25.328
217,1,0.437,0.589,-33.529,9.733,9.733,9.602,-23.927000000000003
218,1,0.4,0.783,-38.672,36.645,36.645,29.784,-8.887999999999998
219,1,0.485,0.447,-29.519,36.88,36.88,10.796,-18.723
220,1,0.646,0.559,-37.804,26.64,26.64,9.151,-28.653000000000002
221,1,0.731,0.579,-51.566,26.738,26.738,36.056,-15.510000000000005
222,1,0.959,0.685,-41.199,30.816,30.816,26.871,-14.328
223,1,0.749,0.711,-51.083,24.462,24.462,29.636,-21.447
224,1,0.488,0.668,-35.791,16.624,16.624,29.638,-6.152999999999995
225,1,0.808,0.787,-29.308,30.632,30.632,17.342,-11.966000000000001
226,1,0.83,0.614,-41.552,41.356,41.356,21.221,-20.331
227,1,0.636,0.824,-24.879,31.666,31.666,14.051,-10.828000000000001
228,1,0.462,0.579,8.012,20.866,20.866,-35.353,-27.341
229,1,0.478,0.657,-16.85,16.15,16.15,7.306,-9.544
230,1,0.542,0.631,-47.641,26.655,26.655,23.872,-23.769
231,1,0.777,0.449,-62.161,26.089,26.089,34.587,-27.573999999999998
232,1,0.937,0.614,-13.704,20.816,20.816,-10.618,-24.322000000000003
233,1,0.814,0.683,-50.28,34.47,34.47,30.112,-20.168000000000003
234,1,0.748,0.7,-17.338,32.83,32.83,2.072,-15.266000000000002
235,1,0.432,0.496,-26.123,13.425,13.425,4.997,-21.126
236,1,0.451,0.558,-22.041,21.067,21.067,13.028,-9.013
237,1,0.958,0.935,-56.658,40.299,40.299,32.097,-24.561
238,1,0.806,0.847,-28.565,13.086,13.086,9.689,-18.876
239,1,0.627,0.78,-17.522,18.542,18.542,0.065,-17.456999999999997
240,1,0.693,0.679,-44.517,23.165,23.165,16.248,-28.269000000000002
241,1,0.5,0.558,-25.069,22.8,22.8,-9.738,-34.807
242,1,0.548,0.444,-27.457,15.428,15.428,4.164,-23.293
243,1,0.601,0.982,-32.091,26.86,26.86,5.372,-26.719
244,1,0.538,0.585,-50.495,20.16,20.16,33.84,-16.654999999999994
245,1,0.952,0.814,-40.743,40.122,40.122,21.165,-19.578000000000003
246,1,0.569,0.558,-36.087,31.841,31.841,20.194,-15.893000000000004
247,1,0.57,0.668,-41.363,35.08,35.08,25.391,-15.972000000000001
248,1,0.607,0.801,-26.622,20.808,20.808,6.551,-20.070999999999998
249,1,0.919,0.742,-78.052,39.944,39.944,44.301,-33.751000000000005
250,1,0.591,0.609,-56.329,13.508,13.508,37.128,-19.201
251,1,0.773,0.783,-37.36,33.6,33.6,22.269,-15.091000000000001
252,1,0.558,0.751,-35.377,22.2,22.2,18.842,-16.535000000000004
253,1,0.48,0.335,-32.39,29.953,29.953,10.347,-22.043
254,1,0.516,0.674,-2.476,16.112,16.112,-15.682,-18.158
255,1,0.668,0.709,-63.541,12.686,12.686,32.191,-31.349999999999994
256,1,0.581,0.727,-8.928,27.902,27.902,-4.88,-13.808
257,1,0.506,0.642,-35.365,18.211,18.211,7.471,-27.894000000000002
258,1,0.469,0.623,-30.757,16.619,16.619,11.654,-19.103
259,1,0.776,0.757,-58.138,37.623,37.623,36.275,-21.863
260,1,0.501,0.771,-13.144,13.723,13.723,-18.924,-32.068
261,1,0.554,0.541,3.429,9.676,9.676,-35.361,-31.932
262,1,0.622,0.753,-3.384,9.04,9.04,-21.552,-24.936
263,1,0.609,0.404,-8.855,19.529,19.529,-19.559,-28.414
