frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
252,1,0.994,0.831,-12.873,45.816,45.816,-31.592,-44.464999999999996
253,1,1.024,0.647,-3.667,48.913,48.913,-37.926,-41.593
254,1,1.249,0.905,-2.716,45.758,45.758,-44.205,-46.921
255,1,1.484,0.833,-10.308,41.172,41.172,-34.002,-44.31
256,1,1.346,0.719,-4.989,48.205,48.205,-33.157,-38.145999999999994
257,1,1.185,1.011,-11.163,53.549,53.549,-28.762,-39.925
258,1,1.194,0.955,-11.308,50.001,50.001,-33.392,-44.7
259,1,1.323,1.066,-15.85,49.773,49.773,-26.658,-42.508
260,1,1.324,1.051,-14.159,42.637,42.637,-29.102,-43.261
261,1,1.147,1.01,-7.049,44.726,44.726,-37.275,-44.324
262,1,1.316,0.605,-6.785,47.256,47.256,-42.488,-49.272999999999996
263,1,1.574,0.743,-5.749,47.825,47.825,-44.619,-50.368
264,1,1.355,1.184,2.391,51.487,51.487,-47.096,-44.705
265,1,1.398,1.011,-0.12,49.271,49.271,-50.769,-50.888999999999996
266,1,1.315,0.814,-11.909,52.445,52.445,-34.484,-46.393
267,1,1.397,0.676,-14.576,49.554,49.554,-33.653,-48.229
268,1,0.92,0.759,-6.985,48.248,48.248,-44.101,-51.086
269,1,0.971,0.574,-13.336,50.632,50.632,-35.564,-48.9
270,1,0.864,0.855,-16.261,53.206,53.206,-27.531,-43.792
271,1,1.06,0.565,-15.859,51.839,51.839,-34.164,-50.023
272,1,1.101,0.762,-8.094,47.004,47.004,-37.703,-45.797000000000004
273,1,1.184,1.204,-11.83,49.07,49.07,-32.58,-44.41
274,1,0.919,0.883,-10.758,46.101,46.101,-41.562,-52.31999999999999
275,1,1.111,0.79,-10.736,52.797,52.797,-40.14,-50.876000000000005
276,1,1.076,0.697,-15.399,47.557,47.557,-31.575,-46.974
277,1,1.303,0.789,-11.481,45.349,45.349,-32.509,-43.99
278,1,1.201,1.019,-8.945,42.066,42.066,-31.852,-40.797
279,1,1.263,0.995,-9.443,46.839,46.839,-36.317,-45.76
280,1,1.477,1.038,-10.547,46.839,46.839,-37.519,-48.066
281,1,1.348,0.744,-8.985,47.198,47.198,-34.457,-43.442
282,1,1.571,1.223,0.465,47.305,47.305,-42.026,-41.561
283,1,1.711,1.206,2.467,52.738,52.738,-42.287,-39.82
284,1,1.744,0.858,3.951,54.604,54.604,-44.913,-40.961999999999996
285,1,1.252,0.92,-2.61,56.564,56.564,-37.222,-39.832
286,1,1.219,0.859,-6.535,51.961,51.961,-33.037,-39.572
287,1,1.364,1.025,5.05,51.811,51.811,-42.959,-37.909000000000006
288,1,1.617,1.1,7.569,54.229,54.229,-45.247,-37.678
289,1,1.354,1.135,5.681,51.993,51.993,-40.907,-35.226
290,1,1.557,1.019,3.595,48.976,48.976,-42.411,-38.816
291,1,1.369,1.13,1.762,44.516,44.516,-43.167,-41.405
292,1,1.478,0.888,1.938,51.678,51.678,-40.617,-38.678999999999995
293,1,1.387,1.209,4.217,51.299,51.299,-43.867,-39.65
294,1,1.261,1.065,-2.533,44.014,44.014,-39.026,-41.559000000000005
295,1,1.593,0.903,-4.389,39.612,39.612,-34.292,-38.681000000000004
296,1,1.564,0.799,3.39,33.747,33.747,-48.661,-45.271
297,1,1.176,1.187,17.093,44.984,44.984,-58.054,-40.961
298,1,1.307,0.936,17.715,42.961,42.961,-56.988,-39.272999999999996
299,1,1.292,0.914,15.073,45.739,45.739,-45.982,-30.909
300,1,1.274,1.334,23.866,48.103,48.103,-53.031,-29.165
301,1,1.177,1.118,30.469,48.101,48.101,-54.925,-24.455999999999996
302,1,1.363,1.232,25.923,46.349,46.349,-54.698,-28.775000000000002
303,1,1.425,1.196,17.001,48.692,48.692,-49.539,-32.538
304,1,1.402,1.247,15.798,44.675,44.675,-50.677,-34.879
305,1,1.429,0.82,25.953,42.781,42.781,-63.096,-37.143
306,1,1.455,0.848,29.132,47.758,47.758,-68.282,-39.14999999999999
307,1,1.387,0.935,22.654,42.692,42.692,-66.978,-44.324
308,1,1.252,1.105,20.295,42.503,42.503,-63.631,-43.336
309,1,1.267,1.068,11.277,44.573,44.573,-57.175,-45.897999999999996
310,1,1.266,1.001,15.4,46.619,46.619,-60.041,-44.641
311,1,1.131,0.866,20.557,50.277,50.277,-63.428,-42.870999999999995
312,1,1.17,0.71,13.96,44.161,44.161,-55.845,-41.885
313,1,1.315,0.774,19.468,46.087,46.087,-58.866,-39.397999999999996
314,1,1.485,0.835,17.969,47.685,47.685,-54.759,-36.79
315,1,1.358,0.788,20.523,52.888,52.888,-58.698,-38.175
316,1,1.327,0.857,11.42,55.232,55.232,-50.092,-38.672
317,1,1.162,0.744,11.581,53.784,53.784,-52.021,-40.44
318,1,1.166,0.99,12.876,51.131,51.131,-51.786,-38.910000000000004
319,1,1.194,1.064,19.602,51.507,51.507,-56.204,-36.602000000000004
320,1,1.087,1.327,18.336,47.773,47.773,-45.968,-27.632000000000005
321,1,1.208,1.307,9.717,50.481,50.481,-40.39,-30.673000000000002
322,1,1.126,1.133,16.083,48.83,48.83,-46.208,-30.125
323,1,1.212,0.658,28.336,50.401,50.401,-51.576,-23.240000000000002
324,1,1.231,1.036,23.373,45.968,45.968,-45.928,-22.554999999999996
325,1,1.303,0.755,22.675,48.709,48.709,-41.705,-19.029999999999998
326,1,1.234,0.691,27.111,43.324,43.324,-41.748,-14.636999999999997
327,1,1.197,0.92,28.671,51.161,51.161,-44.412,-15.741
328,1,1.078,1.166,20.693,52.564,52.564,-38.087,-17.394000000000002
329,1,1.192,1.071,22.12,57.389,57.389,-39.282,-17.161999999999995
330,1,1.053,1.136,18.942,60.543,60.543,-37.602,-18.659999999999997
331,1,0.914,1.091,22.099,53.828,53.828,-45.347,-23.248
332,1,0.928,1.158,13.033,54.627,54.627,-36.142,-23.109
333,1,1.014,1.002,12.246,50.914,50.914,-40.824,-28.577999999999996
334,1,1.198,1.359,5.76,60.528,60.528,-38.068,-32.308
335,1,1.156,0.929,8.442,58.128,58.128,-32.293,-23.851
336,1,1.25,0.664,13.259,53.116,53.116,-43.009,-29.75
337,1,0.984,0.814,19.367,57.455,57.455,-42.33,-22.962999999999997
338,1,1.2,1.051,16.753,62.178,62.178,-39.734,-22.981
339,1,1.173,1.142,22.637,54.033,54.033,-49.26,-26.622999999999998
340,1,0.846,0.927,18.683,57.657,57.657,-44.178,-25.494999999999997
341,1,1.075,0.847,20.283,59.358,59.358,-48.655,-28.372
342,1,1.106,1.092,17.376,62.05,62.05,-48.055,-30.679
343,1,1.058,0.844,11.996,57.243,57.243,-46.596,-34.599999999999994
344,1,1.124,0.945,15.456,59.913,59.913,-44.489,-29.032999999999998
345,1,1.339,0.887,9.445,57.905,57.905,-39.164,-29.719
346,1,1.238,1.219,5.77,58.327,58.327,-32.821,-27.051
347,1,1.311,1.449,4.72,57.366,57.366,-36.768,-32.048
348,1,1.245,1.227,1.969,55.917,55.917,-37.07,-35.101
349,1,1.26,1.005,1.848,59.813,59.813,-39.759,-37.911
350,1,0.957,1.073,7.686,62.566,62.566,-45.126,-37.44
351,1,1.0,1.398,5.572,57.183,57.183,-46.023,-40.451
352,1,1.146,0.939,11.581,53.062,53.062,-47.276,-35.69500000000001
353,1,1.021,0.722,7.296,62.803,62.803,-43.211,-35.915
354,1,1.127,0.556,6.273,60.514,60.514,-44.195,-37.922
355,1,1.164,0.74,4.308,63.426,63.426,-41.55,-37.242
356,1,1.089,0.64,7.337,65.12,65.12,-39.729,-32.391999999999996
357,1,1.233,0.598,15.707,60.78,60.78,-43.424,-27.717
358,1,1.153,0.994,18.12,61.394,61.394,-46.859,-28.739
359,1,1.026,0.803,9.35,61.994,61.994,-42.055,-32.705
